nodeName;preferred_en_US;preferred_id_ID
yago:wordnet_room_104105893;room;kamar
yago:wordnet_office_103841666;office;kantor
yago:wordnet_bedroom_102821627;bedroom;kamar tidur
yago:wordnet_bathroom_102807731;bathroom;kamar mandi
yago:wordnet_kitchen_103619890;kitchen;dapur
yago:wordnet_park_108615374;park;taman
yago:wordnet_tract_108673395;tract;outdoor
yago:wordnet_field_108569998;field;sawah
yago:wordnet_playing_field_108570758;playing field;lapangan olah raga
yago:wordnet_public_square_108619620;public square;lapangan umum
